room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
8798555,1235,26564980,Entire home/apt,,Helsinki,,KRUUNUNHAKA,0,0.0,4,2.0,,125.0,,Very central 2 bedroom apartment,Apartment,2017-05-18 03:57:52.024403,60.176032,24.957325,0101000020E6100000A9A44E4013F538405586713788164E40
3685512,1235,7795267,Entire home/apt,,Helsinki,,MUNKKINIEMI,13,4.5,5,2.0,,137.0,,Family-friendly 2 Bedroom Penthouse,Apartment,2017-05-18 03:57:50.710427,60.200113,24.882524,0101000020E610000063EFC517EDE138409240834D9D194E40
15651836,1235,1569461,Entire home/apt,,Helsinki,,KAMPPI,6,4.5,4,2.0,,129.0,,Charming 2BR for 4 in Helsinki Kamppi!,Apartment,2017-05-18 03:57:47.724615,60.165799,24.932695,0101000020E610000089247A19C5EE3840D15AD1E638154E40
6430634,1235,33563377,Entire home/apt,,Helsinki,,TOUKOLA,9,5.0,3,1.0,,119.0,,Sea View and balconies! Lovely area,Apartment,2017-05-18 03:57:34.417651,60.201309,24.97061,0101000020E6100000AA2B9FE579F83840FBB1497EC4194E40
2954654,1235,14742094,Entire home/apt,,Helsinki,,KLUUVI,6,5.0,4,1.0,,112.0,,Lovely apartment in the city center,Apartment,2017-05-18 03:57:32.592198,60.168996,24.948394,0101000020E6100000FEB8FDF2C9F23840D19332A9A1154E40
9290039,1235,17081157,Entire home/apt,,Helsinki,,KAMPPI,7,4.5,4,1.0,,124.0,,Sweet Home in Center,Apartment,2017-05-18 03:57:30.607011,60.16433,24.935095,0101000020E610000033A7CB6262EF384037E0F3C308154E40
17298253,1235,40611694,Entire home/apt,,Helsinki,,ETU-TÖÖLÖ,2,0.0,3,0.0,,68.0,,Spacious and cosy studio in the heart of Helsinki,Apartment,2017-05-18 03:54:55.496927,60.17192,24.921953,0101000020E6100000F7729F1C05EC3840A0C37C7901164E40
18386685,1235,127353941,Entire home/apt,,Helsinki,,SUURMETSÄ,0,0.0,4,0.0,,35.0,,Alppikylä Helsinki yksiö,Apartment,2017-05-18 03:52:28.952291,60.257549,25.067955,0101000020E61000008599B67F651139400A0F9A5DF7204E40
2178601,1235,5921772,Entire home/apt,,Helsinki,,HAAGA,1,0.0,9,3.0,,340.0,,Beautiful home with good location.,Apartment,2017-05-18 03:52:21.315448,60.210913,24.884814,0101000020E6100000FE0A992B83E238408FA67A32FF1A4E40
16439755,1235,100642208,Entire home/apt,,Helsinki,,HERTTONIEMI,0,0.0,6,2.0,,313.0,,Brand new two bedroom apartement next to Metro,Apartment,2017-05-18 03:52:19.732595,60.192615,25.028951,0101000020E6100000BE2F2E55690739400ADCBA9BA7184E40
