room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
17403374,1140,87066279,Private room,,Edinburgh,,Stockbridge,8,5.0,2,1.0,,93.0,,"Cosy Double Bed, Central, Stunning Loft Apartment",2017-04-24 03:28:43.804296,55.956984,-3.212655,0101000020E6100000A4A5F27684B309C0CB65A3737EFA4B40
12061282,1140,64611059,Private room,,Edinburgh,,New Town,14,4.5,2,1.0,,99.0,,Double bedroom-WIFI near Princes St,2017-04-24 03:28:42.063065,55.952986,-3.208956,0101000020E61000007F6C921FF1AB09C0DFC5FB71FBF94B40
3175065,1140,16100629,Private room,,Edinburgh,,Calton,158,5.0,2,1.0,,93.0,,Beautiful Garden Flat in Town,2017-04-24 03:28:42.053341,55.957598,-3.1735,0101000020E610000017D9CEF7536309C0855B3E9292FA4B40
7596097,1140,39833505,Private room,,Edinburgh,,Baberton,9,5.0,2,1.0,,79.0,,"Cosy double bedroom, ensuite & wifi",2017-04-24 03:28:27.944257,55.899075,-3.31607,0101000020E610000048F949B54F870AC05BD3BCE314F34B40
10009580,1140,807372,Private room,,Edinburgh,,Craiglockhart,3,4.5,2,1.0,,76.0,,Beautiful private room with En-suite in Edinburgh,2017-04-24 03:27:57.850998,55.923234,-3.25054,0101000020E6100000FEB7921D1B010AC013471E882CF64B40
11408198,1140,59890763,Private room,,Edinburgh,,Moat,36,5.0,2,1.0,,66.0,,1 private room in a modern flat!,2017-04-24 03:27:55.342247,55.936025,-3.237394,0101000020E61000000C2252D32EE609C0849ECDAACFF74B40
14151687,1140,61271973,Private room,,Edinburgh,,Dalry,3,5.0,2,1.0,,72.0,,Murrayfield/Roseburn double bedroom,2017-04-24 03:26:30.033681,55.945345,-3.2352,0101000020E61000005227A089B0E109C0F437A11001F94B40
6307294,1140,29507828,Private room,,Edinburgh,,Drylaw,18,5.0,2,1.0,,66.0,,Double room in sunny spacious flat!,2017-04-24 03:26:28.353898,55.967442,-3.234697,0101000020E610000027C11BD2A8E009C06F63B323D5FB4B40
6906170,1140,31683443,Private room,,Edinburgh,,Pilton,4,5.0,4,1.0,,72.0,,"Very large, light bedroom.",2017-04-24 03:26:26.904198,55.972973,-3.241002,0101000020E61000002C2AE27492ED09C00D7217618AFC4B40
14177187,1140,8153748,Private room,,Edinburgh,,NE Corstorphine,14,4.5,2,1.0,,72.0,,"Bright, Comfortable Room in Quiet Location",2017-04-24 03:26:22.776167,55.946805,-3.276285,0101000020E6100000BD00FBE8D4350AC03A58FFE730F94B40
6565696,1140,25706465,Private room,,Edinburgh,,Drylaw,67,4.5,3,1.0,,67.0,,private double bedroom,2017-04-24 03:26:20.272462,55.967635,-3.240812,0101000020E6100000F4DF83D72EED09C084BBB376DBFB4B40
10906952,1140,56526608,Private room,,Edinburgh,,Pilton,7,5.0,2,1.0,,79.0,,Beach themed double room & bathroom,2017-04-24 03:26:20.248722,55.972188,-3.235798,0101000020E61000009AB2D30FEAE209C026C808A870FC4B40
3387879,1140,17093493,Private room,,Edinburgh,,Cramond,18,5.0,2,1.0,,66.0,,"Bed, breakfast and evening meal",2017-04-24 03:26:18.746442,55.975116,-3.302849,0101000020E6100000AC02B5183C6C0AC036E7E099D0FC4B40
6580187,1140,34421602,Private room,,Edinburgh,,Pilton,8,5.0,2,1.0,,66.0,,Db bedroom with private bathroom,2017-04-24 03:26:16.039065,55.970991,-3.237005,0101000020E610000068E89FE062E509C0ECDADE6E49FC4B40
6384079,1140,33277793,Private room,,Edinburgh,,Mayfield,5,4.5,2,1.0,,66.0,,Double bed room in quiet area,2017-04-24 03:26:13.173578,55.927514,-3.176737,0101000020E6100000FAF19716F56909C0844A5CC7B8F64B40
2186058,1140,5021059,Private room,,Edinburgh,,Harbour,12,5.0,2,1.0,,66.0,,fabulous large double room,2017-04-24 03:25:23.385977,55.97084,-3.17427,0101000020E6100000306475ABE76409C007D3307C44FC4B40
3598834,1140,18132067,Private room,,Edinburgh,,Newhaven,6,5.0,2,1.0,,78.0,,Light & airy double in Edinburgh,2017-04-24 03:24:46.130836,55.98049,-3.183035,0101000020E6100000D72FD80DDB7609C00C0742B280FD4B40
6345058,1140,33046929,Private room,,Edinburgh,,Newhaven,12,5.0,2,1.0,,66.0,,Double bedroom,2017-04-24 03:24:42.213585,55.978686,-3.187837,0101000020E61000007CD45FAFB08009C0CB86359545FD4B40
505153,1140,2490804,Private room,,Edinburgh,,Newhaven,17,4.5,3,1.0,,74.0,,Waterfront bright modern apartment,2017-04-24 03:24:40.875942,55.986966,-3.188267,0101000020E61000000954FF20928109C0C921E2E654FE4B40
16286286,1140,106421910,Private room,,Edinburgh,,Restalrig,5,5.0,2,1.0,,72.0,,PRIVATE ROOM available for up to 2 people,2017-04-24 03:24:08.476223,55.958758,-3.148694,0101000020E610000032E4D87A863009C0A2630795B8FA4B40
14352743,1140,28019201,Private room,,Edinburgh,,Merchiston,19,4.5,4,1.0,,66.0,,Ossian: Lovely Large Family Room/Two Double Beds,2017-04-24 03:23:51.154316,55.929256,-3.227226,0101000020E61000003C6876DD5BD109C04FCE50DCF1F64B40
12396952,1140,67029322,Private room,,Edinburgh,,Gilmerton,27,4.5,9,1.0,,54.0,,Home from home in my wee house,2017-04-24 03:23:05.668786,55.907694,-3.13245,0101000020E610000073D712F2410F09C0416326512FF44B40
